model,app_id,us_id,feature_name,feature_description,scenario_name,scenario_description,scenario_examples,step_keyword_type,us_text,scenario_id,flat_step,step_id
google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Clicking the address link opens Google Maps in a new tab,,,Context,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",google-gemini-2.0-flash-001_1_1,Given I am on the website,google-gemini-2.0-flash-001_1_1_1
google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Clicking the address link opens Google Maps in a new tab,,,Action,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",google-gemini-2.0-flash-001_1_1,When I click the address link,google-gemini-2.0-flash-001_1_1_2
google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Clicking the address link opens Google Maps in a new tab,,,Outcome,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",google-gemini-2.0-flash-001_1_1,Then a new tab should open,google-gemini-2.0-flash-001_1_1_3
google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Clicking the address link opens Google Maps in a new tab,,,Conjunction,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",google-gemini-2.0-flash-001_1_1,"And the new tab's URL should contain ""google.com/maps""",google-gemini-2.0-flash-001_1_1_4
google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,The Google Maps URL contains the correct address,,,Context,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",google-gemini-2.0-flash-001_1_2,Given I am on the website,google-gemini-2.0-flash-001_1_2_1
google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,The Google Maps URL contains the correct address,,,Action,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",google-gemini-2.0-flash-001_1_2,When I click the address link,google-gemini-2.0-flash-001_1_2_2
google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,The Google Maps URL contains the correct address,,,Outcome,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",google-gemini-2.0-flash-001_1_2,Then a new tab should open,google-gemini-2.0-flash-001_1_2_3
google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,The Google Maps URL contains the correct address,,,Conjunction,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",google-gemini-2.0-flash-001_1_2,"And the new tab's URL should contain the address ""1600 Amphitheatre Parkway, Mountain View, CA""",google-gemini-2.0-flash-001_1_2_4
google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Clicking the address link does not close the current tab,,,Context,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",google-gemini-2.0-flash-001_1_3,Given I am on the website,google-gemini-2.0-flash-001_1_3_1
google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Clicking the address link does not close the current tab,,,Action,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps.",google-gemini-2.0-flash-001_1_3,When I click the address link,google-gemini-2.0-flash-001_1_3_2
