app_id,model,us_id,scenario_id,scenario_text,feature_name,scenario_name,scenario_examples,us_text
g04-recycling,google-gemini-2.0-flash-001,1,google-gemini-2.0-flash-001_1_1,"Given I am on the website When I click the address link Then a new tab should open And the new tab's URL should contain ""google.com/maps""",Address Link Opens Google Maps in New Tab,Clicking the address link opens Google Maps in a new tab,,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
g04-recycling,google-gemini-2.0-flash-001,1,google-gemini-2.0-flash-001_1_2,"Given I am on the website When I click the address link Then a new tab should open And the new tab's URL should contain the address ""1600 Amphitheatre Parkway, Mountain View, CA""",Address Link Opens Google Maps in New Tab,The Google Maps URL contains the correct address,,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
g04-recycling,google-gemini-2.0-flash-001,1,google-gemini-2.0-flash-001_1_3,Given I am on the website When I click the address link Then the original tab should still be open,Address Link Opens Google Maps in New Tab,Clicking the address link does not close the current tab,,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
g04-recycling,google-gemini-2.0-flash-001,1,google-gemini-2.0-flash-001_1_4,"Given I am on the website Then the address link should have the attribute ""target"" with value ""_blank""",Address Link Opens Google Maps in New Tab,Address link uses the correct HTML attribute to open in a new tab,,"As a user, I want to click on the address, so that it takes me to a new tab with Google Maps."
g04-recycling,google-gemini-2.0-flash-001,2,google-gemini-2.0-flash-001_2_1,Given I am an anonymous user When I visit the recycling center list page Then I should see a list of recycling centers And each recycling center should have a name And each recycling center should have an address,Anonymous User Can View Public Recycling Center Information,Anonymous user views the recycling center list,,"As a user, I want to be able to anonymously view public information, so that I know about recycling centers near me before creating an account."
g04-recycling,google-gemini-2.0-flash-001,2,google-gemini-2.0-flash-001_2_2,"Given I am an anonymous user And a recycling center exists with the name ""Eco Depot"" and id ""123"" When I navigate to the details page for recycling center ""123"" Then I should see the details for ""Eco Depot"" And I should see the address for ""Eco Depot"" And I should see the hours of operation for ""Eco Depot""",Anonymous User Can View Public Recycling Center Information,Anonymous user views details of a specific recycling center,,"As a user, I want to be able to anonymously view public information, so that I know about recycling centers near me before creating an account."
g04-recycling,google-gemini-2.0-flash-001,2,google-gemini-2.0-flash-001_2_3,"Given I am an anonymous user When I search for recycling centers using zip code ""90210"" Then I should see a list of recycling centers located in ""90210"" And the displayed recycling centers should be sorted by distance from ""90210""",Anonymous User Can View Public Recycling Center Information,Anonymous user searches for recycling centers by zip code,,"As a user, I want to be able to anonymously view public information, so that I know about recycling centers near me before creating an account."
g04-recycling,google-gemini-2.0-flash-001,2,google-gemini-2.0-flash-001_2_4,Given I am an anonymous user When I navigate to the map view of recycling centers Then I should see a map with recycling centers marked And each marker should represent a recycling center And clicking a marker should display basic recycling center information,Anonymous User Can View Public Recycling Center Information,Anonymous user navigates to the map view of recycling centers,,"As a user, I want to be able to anonymously view public information, so that I know about recycling centers near me before creating an account."
g04-recycling,google-gemini-2.0-flash-001,3,google-gemini-2.0-flash-001_3_1,"Given I am on the recycling facility search page When I enter ""90210"" in the zip code field And I click the ""Search"" button Then I should see a list of recycling facilities And the list should contain at least 3 facilities",Find Recycling Facilities by Zip Code,Valid zip code returns a list of recycling facilities,,"As a user, I want to be able to enter my zip code and get a list of nearby recycling facilities, so that I can determine which ones I should consider."
g04-recycling,google-gemini-2.0-flash-001,3,google-gemini-2.0-flash-001_3_2,"Given I am on the recycling facility search page When I enter ""123"" in the zip code field And I click the ""Search"" button Then I should see an error message ""Invalid zip code format""",Find Recycling Facilities by Zip Code,Invalid zip code displays an error message,,"As a user, I want to be able to enter my zip code and get a list of nearby recycling facilities, so that I can determine which ones I should consider."
g04-recycling,google-gemini-2.0-flash-001,3,google-gemini-2.0-flash-001_3_3,"Given I am on the recycling facility search page When I enter ""00501"" in the zip code field And I click the ""Search"" button Then I should see a message ""No recycling facilities found near this zip code""",Find Recycling Facilities by Zip Code,No recycling facilities found for a valid zip code,,"As a user, I want to be able to enter my zip code and get a list of nearby recycling facilities, so that I can determine which ones I should consider."
g04-recycling,google-gemini-2.0-flash-001,3,google-gemini-2.0-flash-001_3_4,"Given I am on the recycling facility search page When I click the ""Search"" button Then I should see an error message ""Please enter a zip code""",Find Recycling Facilities by Zip Code,Empty zip code field displays an error,,"As a user, I want to be able to enter my zip code and get a list of nearby recycling facilities, so that I can determine which ones I should consider."
