filepath,model,app_id,us_id,feature_name,feature_description,feature_keyword,feature_tags,rule_name,rule_description,rule_tags,scenario_name,scenario_description,scenario_keyword,scenario_tags,scenario_examples,step_keyword,step_keyword_type,step_text,step_data_table,step_doc_string,error
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,Clicking the address link opens Google Maps in a new tab,,Scenario,,,Given,Context,I am on the website,,,False
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,Clicking the address link opens Google Maps in a new tab,,Scenario,,,When,Action,I click the address link,,,False
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,Clicking the address link opens Google Maps in a new tab,,Scenario,,,Then,Outcome,a new tab should open,,,False
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,Clicking the address link opens Google Maps in a new tab,,Scenario,,,And,Conjunction,"the new tab's URL should contain ""google.com/maps""",,,False
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,The Google Maps URL contains the correct address,,Scenario,,,Given,Context,I am on the website,,,False
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,The Google Maps URL contains the correct address,,Scenario,,,When,Action,I click the address link,,,False
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,The Google Maps URL contains the correct address,,Scenario,,,Then,Outcome,a new tab should open,,,False
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,The Google Maps URL contains the correct address,,Scenario,,,And,Conjunction,"the new tab's URL should contain the address ""1600 Amphitheatre Parkway, Mountain View, CA""",,,False
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,Clicking the address link does not close the current tab,,Scenario,,,Given,Context,I am on the website,,,False
..\data\mendeley\experiment_outputs\g04-recycling\single_turn_gen\features\google-gemini-2.0-flash-001\g04-recycling_google-gemini-2.0-flash-001_1.feature,google-gemini-2.0-flash-001,g04-recycling,1,Address Link Opens Google Maps in New Tab,,Feature,,,,,Clicking the address link does not close the current tab,,Scenario,,,When,Action,I click the address link,,,False
